Path,Name,N_Tracks
data/midi-classic-music/midiclassics/Debussy/Children's Corner.mid,Children's Corner.mid,1.0
data/midi-classic-music/midiclassics/Debussy/Masque.mid,Masque.mid,1.0
data/midi-classic-music/midiclassics/Debussy/Mouvement from Imafesl.mid,Mouvement from Imafesl.mid,1.0
data/midi-classic-music/midiclassics/Debussy/Reverie.mid,Reverie.mid,1.0
data/midi-classic-music/midiclassics/Debussy/Six Pigaphes Antiquies.mid,Six Pigaphes Antiquies.mid,1.0
"data/midi-classic-music/midiclassics/Durand, MA/Premie`re Valse, opus 83.mid","Premie`re Valse, opus 83.mid",1.0
data/midi-classic-music/midiclassics/Ganne/La Czarine- Mazurka.mid,La Czarine- Mazurka.mid,1.0
data/midi-classic-music/midiclassics/Ginastera/No. 7.mid,No. 7.mid,1.0
data/midi-classic-music/midiclassics/Ginastera/Suite danzas criollas Danza 3.mid,Suite danzas criollas Danza 3.mid,1.0
data/midi-classic-music/midiclassics/Ginastera/Suite danzas criollas.mid,Suite danzas criollas.mid,1.0
data/midi-classic-music/midiclassics/Ginastera/Unknown.mid,Unknown.mid,1.0
data/midi-classic-music/midiclassics/Grainger/Handel in the Strand.mid,Handel in the Strand.mid,1.0
data/midi-classic-music/midiclassics/Grainger/Irish Tune from County Derry.mid,Irish Tune from County Derry.mid,1.0
data/midi-classic-music/midiclassics/Grieg/Brook.mid,Brook.mid,1.0
"data/midi-classic-music/midiclassics/Griffes/Scherzo, Op.6 No.3.mid","Scherzo, Op.6 No.3.mid",1.0
data/midi-classic-music/midiclassics/Griffes/The Fountain of the Aqua Paola.mid,The Fountain of the Aqua Paola.mid,1.0
data/midi-classic-music/midiclassics/Griffes/The Vale of Dreams.mid,The Vale of Dreams.mid,1.0
data/midi-classic-music/midiclassics/Griffes/The White Peacock.mid,The White Peacock.mid,1.0
data/midi-classic-music/midiclassics/Haendel/Harpsichord Suite n1 Hwv426 1mov.mid,Harpsichord Suite n1 Hwv426 1mov.mid,1.0
"data/midi-classic-music/midiclassics/Heller/Tarantelle Op.85, No.2.mid","Tarantelle Op.85, No.2.mid",1.0
