Path,Name,N_Tracks
data/midi-classic-music/midiclassics/Diabelli Sonatina op151 n2 3mov.mid,Diabelli Sonatina op151 n2 3mov.mid,2.0
data/midi-classic-music/midiclassics/Diabelli Sonatina op151 n3 1mov.mid,Diabelli Sonatina op151 n3 1mov.mid,2.0
data/midi-classic-music/midiclassics/Diabelli Sonatina op151 n3 2mov.mid,Diabelli Sonatina op151 n3 2mov.mid,2.0
data/midi-classic-music/midiclassics/Diabelli Sonatina op151 n3 3mov.mid,Diabelli Sonatina op151 n3 3mov.mid,2.0
data/midi-classic-music/midiclassics/Diabelli Sonatina op151 n4 1mov.mid,Diabelli Sonatina op151 n4 1mov.mid,2.0
data/midi-classic-music/midiclassics/Diabelli Sonatina op151 n4 2mov.mid,Diabelli Sonatina op151 n4 2mov.mid,2.0
data/midi-classic-music/midiclassics/Dvorak Slavonic dance n8.mid,Dvorak Slavonic dance n8.mid,25.0
data/midi-classic-music/midiclassics/Dvorak Symphony op70 n7 1mov.mid,Dvorak Symphony op70 n7 1mov.mid,23.0
data/midi-classic-music/midiclassics/Dvorak Symphony op70 n7 2mov.mid,Dvorak Symphony op70 n7 2mov.mid,19.0
data/midi-classic-music/midiclassics/Dvorak Symphony op70 n7 3mov.mid,Dvorak Symphony op70 n7 3mov.mid,18.0
data/midi-classic-music/midiclassics/Dvorak Symphony op70 n7 4mov.mid,Dvorak Symphony op70 n7 4mov.mid,23.0
data/midi-classic-music/midiclassics/Dvorak Trio op26.mid,Dvorak Trio op26.mid,4.0
data/midi-classic-music/midiclassics/Gershuin Rhapsody In Blue Piano Duet.mid,Gershuin Rhapsody In Blue Piano Duet.mid,4.0
data/midi-classic-music/midiclassics/Ginastera Estancia.mid,Ginastera Estancia.mid,31.0
data/midi-classic-music/midiclassics/Grieg Piano Concerto 2mov.mid,Grieg Piano Concerto 2mov.mid,27.0
data/midi-classic-music/midiclassics/Grieg Piano Concerto op16 1mov.mid,Grieg Piano Concerto op16 1mov.mid,18.0
data/midi-classic-music/midiclassics/Kuhlau Sonatina op20 n1.mid,Kuhlau Sonatina op20 n1.mid,6.0
data/midi-classic-music/midiclassics/Kuhlau Sonatina op55 n1.mid,Kuhlau Sonatina op55 n1.mid,2.0
data/midi-classic-music/midiclassics/Kuhlau Sonatina op55 n3 1mov.mid,Kuhlau Sonatina op55 n3 1mov.mid,2.0
data/midi-classic-music/midiclassics/Kuhlau Sonatina op60 n2.mid,Kuhlau Sonatina op60 n2.mid,2.0
data/midi-classic-music/midiclassics/Kuhlau Sonatina op60 n3.mid,Kuhlau Sonatina op60 n3.mid,2.0
data/midi-classic-music/midiclassics/Liszt Ab irato ''The Perfect Etude'' S143 R4b.mid,Liszt Ab irato ''The Perfect Etude'' S143 R4b.mid,4.0
data/midi-classic-music/midiclassics/Liszt Bach Prelude Transcription.mid,Liszt Bach Prelude Transcription.mid,4.0
data/midi-classic-music/midiclassics/Liszt Paganini Etude n1.mid,Liszt Paganini Etude n1.mid,4.0
data/midi-classic-music/midiclassics/Liszt Paganini Etude n2.mid,Liszt Paganini Etude n2.mid,2.0
data/midi-classic-music/midiclassics/Liszt Paganini Etude n3.mid,Liszt Paganini Etude n3.mid,2.0
data/midi-classic-music/midiclassics/Liszt Paganini Etude n5.mid,Liszt Paganini Etude n5.mid,2.0
data/midi-classic-music/midiclassics/Lizt Piano Concerto n1 S124.mid,Lizt Piano Concerto n1 S124.mid,26.0
data/midi-classic-music/midiclassics/meditation thais.mid,meditation thais.mid,10.0
